"word","instance","correct"
"treat.v.bnc",24801,TRUE
"activate.v.bnc",1308739,TRUE
"different.a.bnc",44391,TRUE
"ask.v.bnc",6991,TRUE
"talk.v.bnc",81061,TRUE
"eat.v.bnc",31700,TRUE
"plan.n.bnc",59052,TRUE
"bank.n.bnc",69881,FALSE
"disc.n.bnc",221477,TRUE
"activate.v.bnc",709504,TRUE
"talk.v.bnc",42922,TRUE
"argument.n.bnc",135953,TRUE
"arm.n.bnc",71038,TRUE
"appear.v.bnc",44874,TRUE
"atmosphere.n.bnc",187614,TRUE
"disc.n.bnc",245825,TRUE
"disc.n.bnc",89812,TRUE
"difficulty.n.bnc",3816,TRUE
"hot.a.bnc",89123,TRUE
"disc.n.bnc",18297,TRUE
"interest.n.bnc",9343,TRUE
"degree.n.bnc",135731,FALSE
"bank.n.bnc",86435,TRUE
"climb.v.bnc",325798,FALSE
"ask.v.bnc",28003,TRUE
"talk.v.bnc",82487,TRUE
"shelter.n.bnc",851046,TRUE
"climb.v.bnc",297416,FALSE
"miss.v.bnc",34254,TRUE
"expect.v.bnc",22615,FALSE
"lose.v.bnc",2883,FALSE
"provide.v.bnc",28830,TRUE
"arm.n.bnc",78497,TRUE
"add.v.bnc",77346,TRUE
"provide.v.bnc",23984,TRUE
"talk.v.bnc",19578,TRUE
"paper.n.bnc",96165,TRUE
"organization.n.bnc",302846,TRUE
"bank.n.bnc",59146,TRUE
"sort.n.bnc",4996,TRUE
"party.n.bnc",63063,FALSE
"interest.n.bnc",15266,TRUE
"atmosphere.n.bnc",198372,TRUE
"provide.v.bnc",44882,TRUE
"degree.n.bnc",329576,FALSE
"arm.n.bnc",49369,FALSE
"disc.n.bnc",462246,FALSE
"activate.v.bnc",1768110,FALSE
"interest.n.bnc",79716,FALSE
"mean.v.bnc",15608,TRUE
"sort.n.bnc",68742,FALSE
"rule.v.bnc",112933,TRUE
"arm.n.bnc",41621,FALSE
"talk.v.bnc",28370,TRUE
"difference.n.bnc",7886,TRUE
"climb.v.bnc",154840,FALSE
"encounter.v.bnc",122439,FALSE
"activate.v.bnc",1279048,FALSE
"party.n.bnc",76242,TRUE
"atmosphere.n.bnc",57382,TRUE
"remain.v.bnc",12758,TRUE
"sort.n.bnc",39766,TRUE
"sort.n.bnc",43617,TRUE
"atmosphere.n.bnc",145106,TRUE
"image.n.bnc",34782,TRUE
"audience.n.bnc",136181,TRUE
"eat.v.bnc",25038,TRUE
"performance.n.bnc",15906,TRUE
"audience.n.bnc",56714,TRUE
"appear.v.bnc",15691,TRUE
"expect.v.bnc",29863,TRUE
"produce.v.bnc",53412,TRUE
"audience.n.bnc",56736,TRUE
"sort.n.bnc",65517,TRUE
"atmosphere.n.bnc",91034,TRUE
"smell.v.bnc",316236,TRUE
"begin.v.bnc",19778,FALSE
"paper.n.bnc",65097,TRUE
"interest.n.bnc",22786,TRUE
"mean.v.bnc",10538,FALSE
"suspend.v.bnc",226896,TRUE
"suspend.v.bnc",247649,TRUE
"difference.n.bnc",4141,TRUE
"plan.n.bnc",72419,TRUE
"appear.v.bnc",38560,TRUE
"arm.n.bnc",36922,TRUE
"arm.n.bnc",122695,FALSE
"audience.n.bnc",56234,FALSE
"arm.n.bnc",34847,TRUE
"treat.v.bnc",62543,TRUE
"party.n.bnc",8109,TRUE
"lose.v.bnc",13338,TRUE
"party.n.bnc",81625,TRUE
"degree.n.bnc",118314,FALSE
"party.n.bnc",72795,TRUE
"arm.n.bnc",87285,FALSE
